,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
237,M1293,mase,0.35060824385795836,0.48474552901212553,0.24780063251092427,0.41922796994252526,0.3122613979662778,0.6154164061396652,1.133185134394555
238,M1294,mase,0.22475597487451682,0.21268703597364857,0.559905894937583,0.29963467784536724,0.4429130679646484,0.386051782546299,0.5598136502625051
239,M1295,mase,0.9334494991991426,0.9021208893955613,1.3793243154623114,1.1824488931739656,1.3264570231354398,0.8707987898706441,1.0823299983042225
240,M1296,mase,0.17409712881158432,0.22281254249197924,0.3334031089283501,0.2031376131254819,0.2826527866347557,0.43745957883241077,0.7448501872659176
241,M1297,mase,0.13748498281229643,0.18046046531313784,0.36702727708233807,0.14203865553887826,0.24575749604065336,0.3684928629977852,0.8263017327485125
242,M1298,mase,0.8338204224461492,0.8325695465881422,0.5095294898353623,0.6055792079892529,0.39172028510987184,1.0659621737151637,0.9227467166261313
243,M1299,mase,0.1738035171159351,0.24527008289599234,0.42723299588501906,0.3368002892414122,0.48365203810830143,0.41500190094227096,0.2878091603053435
244,M1300,mase,0.1945049171119119,0.3376761941372594,0.10508480238361552,0.1632823359323224,0.091093047185636,0.5860336082463549,0.924043498125828
245,M1301,mase,0.11058521228379879,0.11014353805504865,0.3445555891648154,0.23214137542314608,0.321027597265749,0.3918720671099783,0.21233999788426955
246,M1302,mase,0.1236336036964699,0.148974609375,0.14465241608796295,0.22805695710358798,0.2778443513093171,0.1963738335503472,0.4351851851851852
247,M1303,mase,0.6199696512924225,0.6524398733047514,0.49729934919407853,0.5501881794032586,0.49939198784786365,0.8069794967099592,0.7797196768154498
248,M1304,mase,0.4811240591198784,0.4418679486245413,0.7935659968730889,0.6409340034255083,0.7456304986694503,0.38641007503153185,0.29923559088824336
249,M1305,mase,0.32011893503482797,0.2866378803693673,0.5258244323845257,0.4360574435176173,0.514894786649047,0.31074799761710814,0.24946400361092305
250,M1306,mase,0.3838829895574157,0.3037939305225011,0.4182482492866995,0.31553533563155833,0.3714809997109612,0.35736774360395934,0.5163349199480745
251,M1307,mase,0.22635666175734892,0.19991353661718533,0.3904657526566382,0.27011521308092395,0.3503965280413332,0.3250230259043783,0.26552580734198183
252,M1308,mase,0.10963633127813567,0.09974552072822881,0.12534964560574163,0.08153131882324977,0.134602298635905,0.2601992986395433,0.1608196212356411
253,M1309,mase,1.2995733934545843,1.0994924025365413,2.0156416467943243,1.5505578900614558,1.8232947787644742,0.8425276099504082,0.484624145785877
254,M1310,mase,1.098402293001173,1.0704639094781894,1.3764890111168127,1.2486455525701463,1.335630311005729,1.0062760087739084,1.1683507758931795
255,M1311,mase,0.23005116241072504,0.2095703125,0.35231865907704013,0.18585967870434544,0.24740915473194913,0.31502272367707324,0.6779170684667309
256,M1312,mase,0.5058180914897749,0.4787444582560401,0.8777106203704298,0.664250751803687,0.7906140102869531,0.41402026369694844,0.16149738112354933
257,M1313,mase,0.17573659669539074,0.18633606411303755,0.43153361858805017,0.23230554758927344,0.322188948288041,0.4515817185310519,0.7326564366443076
258,M1314,mase,0.12354597358300341,0.24873209957605927,0.13609422382386388,0.12677796029685065,0.10123936816574886,0.47449749992102935,0.806448216316388
259,M1315,mase,0.3663546820910248,0.5068933004783024,0.2644744597191289,0.440629574686698,0.32986775134674334,0.6380182319037871,1.189852239234634
260,M1316,mase,0.7797189395593372,0.7064636875855599,0.6338744978890318,0.5682959334727861,0.5909831574316111,0.5886353092251226,1.2016616314199398
261,M1317,mase,0.246089218387471,0.3396930738834107,0.21091899591550656,0.21476595731825213,0.18226712043213458,0.6205322076807812,0.8592420726991492
