,unique_id,metric,Original,Online(Fixed),Online(Ens),Offline(1)),Offline(10)),Offline(=),"Offline(=,Ens)",SeasonalNaive
0,q1,mase,3.9134081710513318,3.632212178972646,3.8254875169845883,3.8427567620263003,3.8411707317244543,3.5218837428905023,4.999376838830953,3.684441762224212
1,q10,mase,1.6652341545091398,1.5144638612088055,1.5178938509508924,1.4606053220387738,1.6492489063653337,1.5059041516054448,2.3739943072652077,1.8642698970952194
2,q100,mase,0.6933076139138075,0.674725317160669,0.9266484611507576,0.8524688117324861,0.656647519797154,0.7265506746211602,2.5705307851356722,2.0709789970582198
3,q101,mase,1.0815606945937895,1.1522792033538682,1.2906748052639099,1.0671528020790306,1.40560338288205,1.3761583219086684,1.9450542978426764,0.7272103404476328
4,q102,mase,1.4400815095034027,1.3704711470464703,1.3575032586001243,1.3820397453702324,1.5807512888960502,1.5440180712603873,1.895668112414634,0.5394425821509589
5,q103,mase,1.3181609971447796,0.5055597813709093,0.7536390481713292,0.7284963533106404,0.7379032576023651,0.6947286594977847,1.677870304678549,0.7906459708658411
6,q104,mase,1.4613774100678836,1.4382130719629633,1.534056532397898,1.5227868565092844,1.7440551119171854,1.7879645885815802,1.824805637365522,1.0893301893744012
7,q105,mase,2.0156369568307224,1.8959099719738683,2.03692586324232,1.8741163881437455,2.25738137694578,2.267628229377233,1.8994996264896344,0.7822677698382852
8,q106,mase,2.4752793323013713,2.434132464089172,2.4837569508317507,2.2975862993357614,2.5938165620758107,2.6035133987790147,2.255508187432315,1.3540034812880766
9,q107,mase,1.145448063123052,1.0837483360966218,1.1850977198173542,1.0760486074695275,1.0838660652639531,1.1149791117280285,1.504662012705389,1.1800368121238176
10,q108,mase,0.7586355163481957,0.7403996907798114,0.7843059200629177,0.7039871184367539,0.7210605815820876,0.7028620527130375,0.6866806279798777,0.7836161879895561
11,q109,mase,1.5856931208446097,1.38250740372888,1.6261143949006858,1.4833323614015033,1.5817012829601929,1.5287017066919388,2.770097524326792,1.948791099994789
12,q11,mase,2.0181099145858505,2.101250706719428,1.8116767684753095,2.186025312672586,2.506829626189306,2.731099700950921,4.003400984907512,2.329261302009048
13,q110,mase,2.4726366092557406,2.25751634114433,2.1944867627416587,2.6596590998277323,2.530029116451915,2.4702119005984273,1.22998095081793,0.8687963326482068
14,q111,mase,5.692949506463082,5.513716080916253,5.33338542570311,5.8158358915095,5.402941442595573,5.246880172568999,7.8009713388455815,6.286143737968362
15,q112,mase,2.1246902361008093,1.9621528650830202,2.198426416870656,1.9845711809159738,1.8125806611210655,1.82814082910531,6.02099125172077,4.322994936953787
16,q113,mase,1.9742621788355528,1.9238177208410654,1.8948606306412714,2.1562907291908293,2.21398095633835,2.196652067442828,1.184519307070223,0.847711767274315
17,q114,mase,0.6699264324570166,0.6186850985346124,0.6050982340593706,0.6371727484550176,0.9837971950583808,0.8707004268437177,3.161381842758184,0.9664795094606607
18,q115,mase,1.15295717715182,1.0729690532044542,1.5294617015588796,0.8122590428685332,1.6205360244077134,1.2407782735293196,5.699346677148878,0.7977137566884778
19,q116,mase,1.3603584741443293,1.3916625320933176,1.4958817666820632,1.1723250515041417,1.5711069837467708,1.4331438624031891,2.4757796733426027,0.7432057919951877
20,q117,mase,1.5913678185531575,1.5184177326762716,1.726788881660006,1.4620211064211819,2.2908465149886696,1.9829932648157897,5.1721642216415535,0.904109873356579
21,q118,mase,1.1492022071403323,1.2054427494617916,1.262130294507793,1.2819490337236354,1.1115482175397204,1.1601665981728486,2.927392766821907,2.2107262283944626
22,q119,mase,0.9967224975534338,0.8110302119854219,0.961358877749834,0.7205088857866488,1.385147927345418,1.2930070553021664,2.5221222791385602,0.93240585826078
23,q12,mase,1.338330131108859,1.2086997017228671,1.1406546709610383,1.2568261604784718,1.4444689169891285,1.4305342020606842,2.396397961325062,1.4549065372724852
24,q120,mase,1.0435150103088597,0.7954235692815405,0.6628209048253586,0.8704961182861455,1.042197829459737,1.0350964086587358,3.0859059837441967,1.3327004209475557
25,q121,mase,1.2060776965793707,1.3106934160113617,1.3840168856094621,1.3904532312801394,1.4820471206680228,1.443952179324385,1.4022641424651912,1.7114488862098254
26,q122,mase,1.4276006955705034,1.2157074792701512,1.248415247316727,1.336032208232619,1.0886124419769234,1.184248826818361,2.7180932090838272,2.3855964257009123
27,q123,mase,3.4637978572319486,3.5278823157145776,3.7491169656828283,3.5298234640046715,3.653599968676297,3.244215093205733,5.533219587661012,4.96222786647315
28,q124,mase,0.7715041769953003,0.7932457872684991,0.7555992848483521,0.8114890870305048,0.8525584082595076,0.7900365974648217,1.5749818843747605,1.2604314841156947
29,q125,mase,1.1513799358638515,1.246350325008377,1.1400271641531685,1.228473460826858,1.1994418841963745,1.1636762926674498,1.3352182274759639,1.379543834640057
