,unique_id,metric,Original,Online,Offline,OfflineMax,SeasonalNaive
0,ID0,mase,1.5855602,1.7255934,1.6406046,1.6223626,1.6523423
1,ID1,mase,0.7024013,0.8435709,0.74646425,0.7015087,0.6560234
2,ID10,mase,1.5481433,1.5822617,1.2564149,1.3889837,0.50213987
3,ID100,mase,0.75306565,0.6908579,0.7794796,0.8138524,1.322672
4,ID101,mase,0.7346822,0.6736055,0.79273003,0.78344965,0.85678566
5,ID102,mase,0.57282996,0.46882063,0.39955515,0.5497868,0.59913737
6,ID103,mase,1.2462535,1.0940969,1.0665338,1.0409681,1.0389642
7,ID104,mase,1.0788008,1.1908786,1.1602881,1.1080008,1.5041574
8,ID105,mase,0.5729058,0.5446311,0.6080338,0.57597697,0.49615568
9,ID106,mase,0.51691806,0.50068724,0.5094725,0.49991652,0.49196902
10,ID107,mase,0.5236537,0.5454247,0.5227635,0.51673806,0.9829676
11,ID108,mase,0.7623546,0.7038841,0.5450266,0.6543933,0.57120776
12,ID109,mase,0.79976946,0.9687638,1.083496,0.79152435,0.7931279
13,ID11,mase,0.80663884,0.7325693,0.6846465,0.7818268,1.0710356
14,ID110,mase,0.53290683,0.6598744,0.4375151,0.59083116,0.89296454
15,ID111,mase,0.38410494,0.3153739,0.3735553,0.33601052,0.3119252
16,ID112,mase,0.71399176,0.7659967,0.69788533,0.7360994,0.60887223
17,ID113,mase,0.6518603,0.67273223,0.6403953,0.68292785,0.6879804
18,ID114,mase,0.5599637,0.6237852,0.5010661,0.46935192,0.60522294
19,ID115,mase,1.7573434,3.0901797,4.2503653,2.5683458,0.9737069
20,ID116,mase,0.16764045,0.19299194,0.29318804,0.4520343,0.4190104
21,ID117,mase,0.3305128,0.27065948,0.2108585,0.2187758,0.17705764
22,ID118,mase,0.62321377,0.65463084,0.46979335,0.7230406,0.756469
23,ID119,mase,0.22870418,0.1276179,0.13080314,0.2724236,0.5553835
24,ID12,mase,0.6945752,0.68089885,0.7017332,0.58418596,0.45154724
25,ID120,mase,0.2611853,0.3454387,0.30009246,0.19953404,0.31206876
26,ID121,mase,0.19327293,0.15296695,0.15472928,0.18286955,0.41808626
27,ID122,mase,0.4019191,0.3499954,0.31752574,0.35302305,0.3971962
28,ID123,mase,0.17520551,0.16965064,0.19263618,0.19187455,0.3068764
29,ID124,mase,1.4548914,1.345057,1.4356554,1.5477918,2.8403656
30,ID125,mase,0.3551242,0.43263578,0.26724315,0.32395825,0.85512894
31,ID126,mase,0.44071704,0.44566256,0.44104773,0.45132735,0.44355124
32,ID127,mase,0.24773036,0.23854385,0.21324112,0.22077297,0.5415231
33,ID128,mase,0.5793627,0.65080035,0.6340938,0.6537837,1.3863121
34,ID129,mase,0.44793144,0.6007484,0.4580378,0.422383,1.0529821
35,ID13,mase,0.31151018,0.3065778,0.5383843,0.5245178,0.8026555
36,ID130,mase,0.5450056,0.4546625,0.5505614,0.5636559,1.029827
37,ID131,mase,0.08432688,0.095432,0.14202818,0.074426465,0.17500836
38,ID132,mase,0.30490455,0.3419034,0.27513206,0.2718067,0.57763696
39,ID133,mase,0.949581,0.7657695,0.62551826,0.92851156,0.8791195
40,ID134,mase,0.2351629,0.2644786,0.28760698,0.3014394,0.31434572
41,ID135,mase,0.6154944,0.64596534,0.34387285,0.5448709,0.6894208
42,ID136,mase,1.2315553,0.74161536,0.73069024,1.1231947,0.9007972
43,ID137,mase,0.9727461,0.8613475,0.65330553,0.8301685,1.1285367
44,ID138,mase,0.45678017,0.21405016,0.3966094,0.5380185,0.46416166
45,ID139,mase,0.5194196,0.47996134,0.4192372,0.39786857,1.0228814
46,ID14,mase,0.5240123,0.7341529,0.6726647,0.46234912,1.0370115
47,ID140,mase,0.933424,0.751578,0.7135368,0.7802709,0.9473059
48,ID141,mase,0.91316897,0.612388,0.6351019,0.6362509,0.95985085
49,ID142,mase,0.6280168,0.65808034,0.64141786,0.64995676,0.945696
50,ID143,mase,1.5092882,1.5394125,1.449698,1.3302196,1.2869787
51,ID144,mase,0.45420367,0.41777366,0.31446716,0.39786264,0.5550793
52,ID145,mase,0.82527465,0.8766167,0.93040365,0.7121476,1.4716325
53,ID146,mase,0.07249975,0.06644602,0.06741539,0.068266444,0.11169816
54,ID147,mase,0.13762695,0.11753936,0.10140986,0.1271421,0.19152614
55,ID148,mase,0.37259963,0.5111299,0.2841326,0.3067692,1.0415488
56,ID149,mase,0.5392998,0.42093518,0.34941745,0.3884432,1.43203
57,ID15,mase,1.1635759,1.6605226,0.9793715,0.93684727,0.8359333
58,ID150,mase,0.5907365,0.56255114,0.7070399,0.68239087,0.90287274
59,ID151,mase,0.65936303,0.6846939,0.5840217,0.6422776,1.1220636
60,ID152,mase,0.2667719,0.28657463,0.26443484,0.26715618,0.5964835
61,ID153,mase,0.56450754,0.69634205,0.5952596,0.6966079,0.5706237
62,ID154,mase,0.65560526,0.720834,0.6564361,0.613585,1.073184
63,ID155,mase,0.43450156,0.478841,0.47077498,0.5157449,0.70183736
64,ID156,mase,1.08005,0.934217,0.7867418,0.95428795,1.1611353
65,ID157,mase,0.748588,0.71104306,0.8197485,0.79540527,0.8996155
66,ID158,mase,1.0530823,1.0874466,1.0882791,1.0728874,0.94100225
67,ID159,mase,0.71180815,0.7978366,1.0366702,0.87714726,2.0560734
68,ID16,mase,0.50057864,0.26222515,0.4856887,0.5389466,0.80032974
69,ID160,mase,0.826519,0.93932825,0.8878892,0.9130644,1.3205936
70,ID161,mase,0.70224065,0.53266203,0.40434182,0.5085773,1.0310191
71,ID162,mase,1.1707528,1.2392837,1.0231525,1.3051776,1.3751084
72,ID163,mase,0.77763224,0.8127152,0.6289176,0.68839556,0.76074207
73,ID164,mase,0.42542595,0.629336,0.83974445,0.48128223,0.5951906
74,ID165,mase,0.62581843,0.62118924,0.5457269,0.57989645,0.97735006
75,ID166,mase,0.9315284,0.91041297,0.9627538,0.9955945,1.241668
76,ID167,mase,1.433215,1.0185199,0.9398143,1.0505862,0.7987442
77,ID168,mase,0.9403158,0.9482187,0.88529664,0.91539323,1.5339135
78,ID169,mase,1.0803487,0.85644984,1.127089,0.75871754,1.4593621
79,ID17,mase,0.7136982,0.7252537,0.72289765,0.7272413,1.1358653
80,ID170,mase,1.1334647,1.0860299,0.8997611,0.9889204,1.5368916
81,ID171,mase,0.4414512,0.50106746,0.36664984,0.36463565,0.73976487
82,ID172,mase,0.32325855,0.34404284,0.24505599,0.27608147,0.8389651
83,ID173,mase,0.7162663,0.7355226,0.7880012,0.8415522,1.0020466
84,ID174,mase,0.38692433,0.45371917,0.5450936,0.4077701,1.4367828
85,ID175,mase,1.5160159,1.4366066,1.1157701,1.235019,1.1548647
86,ID176,mase,0.774696,1.05567,0.89668125,1.1119591,1.2027267
87,ID177,mase,0.6454755,0.45881343,0.4123804,0.465519,1.1136727
88,ID178,mase,0.36741525,0.3890201,0.4698048,0.40395465,1.1217127
89,ID179,mase,0.76261777,0.81622124,0.8508699,0.82682204,1.5431168
90,ID18,mase,0.60846436,0.67021173,0.59060454,0.6390246,0.7796873
91,ID180,mase,0.9123422,1.2929591,0.98810476,0.9992805,0.99463487
92,ID181,mase,0.50895965,0.5453986,0.58299,0.5450849,0.82203764
93,ID182,mase,1.9070329e-06,1.4511988e-06,2.6188727e-06,2.5150493e-06,0.0
94,ID183,mase,0.36256382,0.5715407,0.49488115,0.4036079,0.93974406
95,ID184,mase,1.1651466,1.2327887,0.9506959,1.1658393,1.2025986
96,ID185,mase,0.31554267,0.36109367,0.3185206,0.2896188,1.0038869
97,ID186,mase,0.53300303,0.5055105,0.5282439,0.5454269,1.5057918
98,ID187,mase,0.6434938,0.6512419,0.5267236,0.6395835,0.8034799
99,ID188,mase,1.2459666,1.5052993,1.1204951,0.9739049,0.71342474
100,ID189,mase,0.45685124,0.6312499,0.5228289,0.5740899,1.1196634
101,ID19,mase,0.9195694,1.042663,0.86042494,0.8859641,0.45342293
102,ID190,mase,0.35040706,0.3953446,0.35669443,0.36053085,0.40151197
103,ID191,mase,0.27892914,0.22798501,0.24180986,0.2725205,0.39641482
104,ID192,mase,0.5926763,0.38196483,0.39842284,0.48631224,1.2928282
105,ID193,mase,0.3758725,0.32368195,0.35485095,0.39877248,0.36367765
106,ID194,mase,0.47436658,0.48093152,0.42562857,0.5231214,1.0452313
107,ID195,mase,0.7315704,0.6002463,0.5320808,0.77015376,1.056652
108,ID196,mase,0.6730441,0.4705127,0.48374918,0.6359434,0.72119015
109,ID197,mase,0.49596077,0.5893747,0.53562796,0.5801892,1.439859
110,ID198,mase,0.5639609,0.7879593,0.43309715,0.43058214,0.80610764
111,ID199,mase,0.5115514,0.43570098,0.44222143,0.49281257,0.80716705
112,ID2,mase,0.0016501045,0.0063794386,0.008549223,0.0025997804,0.015078185
113,ID20,mase,1.0254111,0.87283134,0.8058784,1.0169407,1.4130143
114,ID200,mase,0.3134611,0.4476288,0.41660392,0.29994643,0.82488734
115,ID201,mase,0.7727276,0.8500208,0.7403447,0.69044614,1.0576973
116,ID202,mase,0.6510859,0.5151521,0.621644,0.73382956,0.7680581
117,ID203,mase,0.63314843,0.64769334,0.43272242,0.6635334,0.71892136
118,ID204,mase,0.7131175,0.6290864,0.55888474,0.69310534,0.9210723
119,ID205,mase,0.46471736,0.42198056,0.4140171,0.51175535,1.5136209
120,ID206,mase,0.58222765,0.34038952,0.43282557,0.53411674,0.6032485
121,ID207,mase,0.21949844,0.3148419,0.25110078,0.21253555,0.49459055
122,ID208,mase,0.45267764,0.47169688,0.6376659,0.55425763,1.4574101
123,ID209,mase,0.62594956,0.63921845,0.74342203,0.55814224,1.8217139
124,ID21,mase,0.5561222,0.5573113,0.58140993,0.5430289,0.9853177
125,ID210,mase,1.1177084,1.162537,1.0968369,1.0810992,1.8107586
126,ID211,mase,0.6080963,0.41684663,0.43871158,0.40867105,0.88792545
127,ID212,mase,0.5091236,0.54024583,0.5752519,0.5148756,0.6616946
128,ID213,mase,0.48660251,0.3640333,0.3442365,0.49993017,0.7742295
129,ID214,mase,0.45194536,0.59514594,0.60419047,0.55539757,0.96871173
130,ID215,mase,0.3588033,0.29135033,0.26311725,0.27524284,0.36454898
131,ID216,mase,0.65283096,0.731083,0.4341878,0.6472232,0.5572085
132,ID217,mase,0.42709035,0.3590074,0.3665363,0.39856222,0.38162243
133,ID218,mase,0.2719785,0.24171424,0.26909092,0.27773768,0.7019471
134,ID219,mase,0.37076843,0.39513874,0.23544323,0.3317358,0.5019455
135,ID22,mase,1.1214868,1.1184503,1.2160311,1.293364,0.9336073
136,ID220,mase,0.63150173,0.56114316,0.49854836,0.51588166,0.73681176
137,ID221,mase,0.86342734,0.8758954,0.7210625,0.9099394,1.3957078
138,ID222,mase,0.41344076,0.38184765,0.22222555,0.30292505,0.58505183
139,ID223,mase,0.55459094,0.51064825,0.48081833,0.48434505,1.3673657
140,ID224,mase,0.35678503,0.31523433,0.36154157,0.37340865,0.7475073
141,ID225,mase,0.2930266,0.25806478,0.22776301,0.24917594,0.5759972
142,ID226,mase,0.51553553,0.5063931,0.44246998,0.48566514,0.50007915
143,ID227,mase,0.56660765,0.6219094,0.6885405,0.4989677,1.1175475
144,ID228,mase,0.3973608,0.4023928,0.36167157,0.36986908,0.63678867
