,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
472,ID102,smape,0.0685322,0.08201126,0.07747324,0.07736759,0.101973996
473,ID103,smape,0.060268484,0.0606115,0.058952518,0.057405796,0.07495647
474,ID104,smape,0.062450293,0.045694765,0.06263137,0.047326446,0.064261
475,ID105,smape,0.062076375,0.04526393,0.06368374,0.041872945,0.059369054
476,ID106,smape,0.06164292,0.06532242,0.068722084,0.062025458,0.07273963
477,ID107,smape,0.06795233,0.07179098,0.09293258,0.055745263,0.08209464
478,ID109,smape,0.1283266,0.1331138,0.14977781,0.12885378,0.15253699
479,ID11,smape,0.07352295,0.069873735,0.071835116,0.076392345,0.08253774
480,ID110,smape,0.09522106,0.07516333,0.090248615,0.100326724,0.082815394
481,ID111,smape,0.1844456,0.17955007,0.1902709,0.16709855,0.26224536
482,ID112,smape,0.02691573,0.02879598,0.032674458,0.039894655,0.081471674
483,ID113,smape,0.02688678,0.028363092,0.031305294,0.04045341,0.0888855
484,ID114,smape,0.04013883,0.03998503,0.035991475,0.043367773,0.15581062
485,ID115,smape,0.04142812,0.042946637,0.03984152,0.045178827,0.10953285
486,ID116,smape,0.062206484,0.05666931,0.061656296,0.0728047,0.043989286
487,ID117,smape,0.0708187,0.06267479,0.07130598,0.08744017,0.06411702
488,ID118,smape,0.035066985,0.029758554,0.038307518,0.037019692,0.22208357
489,ID119,smape,0.020688035,0.022503868,0.02421402,0.03238418,0.08690017
490,ID12,smape,0.08412146,0.0856951,0.08681236,0.06456204,0.08159175
491,ID120,smape,0.01964083,0.02226049,0.023128564,0.026487792,0.027172698
492,ID121,smape,0.022126235,0.024293974,0.019685695,0.027089644,0.088972814
493,ID122,smape,0.019161433,0.022729091,0.022997957,0.029931743,0.037098985
494,ID123,smape,0.022126235,0.024293974,0.019685695,0.027089644,0.088972814
495,ID124,smape,0.018122375,0.017475383,0.021976875,0.027966503,0.14687848
496,ID125,smape,0.038904984,0.042115103,0.039925523,0.0486222,0.045996256
497,ID126,smape,0.023387585,0.01621285,0.01591928,0.01799329,0.043168183
