,unique_id,metric,Original,OnlineFixed,Online,OnlineRandGen,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
488,ID249,smape,0.024685936,0.018373782,0.008601167,0.031539474,0.025908062,0.013801468,0.029349426,0.031016117
489,ID25,smape,0.08205296,0.07978048,0.08755786,0.07780874,0.08320343,0.07926269,0.1183877,0.03290658
490,ID250,smape,0.03273796,0.026873896,0.014173429,0.04531258,0.038022194,0.017712738,0.043039132,0.032798287
491,ID251,smape,0.024570296,0.018014645,0.012087495,0.034844387,0.02336009,0.017350825,0.04696389,0.028543571
492,ID252,smape,0.011527441,0.014209126,0.02998791,0.010740414,0.013761099,0.018558756,0.024627777,0.03332854
493,ID253,smape,0.023957849,0.022845073,0.016625872,0.03077468,0.03286356,0.01712391,0.03173583,0.029554
494,ID254,smape,0.014838734,0.009739616,0.007617677,0.028560633,0.01039432,0.009381223,0.04364981,0.03170894
495,ID255,smape,0.03914601,0.031693246,0.032423373,0.05585747,0.03890888,0.021446362,0.08463799,0.04769322
496,ID256,smape,0.015846223,0.01634118,0.034006238,0.010503691,0.014477137,0.023932396,0.035705138,0.019359834
497,ID257,smape,0.022414073,0.016222702,0.02830512,0.012635003,0.017105458,0.023778392,0.023910685,0.025338233
498,ID258,smape,0.026533276,0.031393014,0.05458707,0.028926589,0.019685287,0.031291533,0.051353216,0.028684074
499,ID259,smape,0.03215688,0.023390137,0.014262497,0.032515805,0.030027814,0.019022288,0.029249938,0.029157879
500,ID26,smape,0.014262181,0.01817563,0.034337837,0.019821027,0.011574504,0.025675572,0.07072335,0.029544642
501,ID260,smape,0.019490192,0.017545568,0.030447705,0.014336021,0.020091442,0.024520786,0.024670104,0.06930798
502,ID261,smape,0.01799515,0.013524774,0.027832001,0.011141718,0.01329534,0.017111646,0.024579637,0.030991612
503,ID262,smape,0.042019814,0.036327977,0.022233687,0.051967632,0.038550194,0.03046299,0.042587906,0.022141801
504,ID263,smape,0.032604974,0.023373522,0.017048867,0.044379953,0.02350981,0.018188292,0.05677909,0.024044694
505,ID264,smape,0.025578314,0.025333636,0.023959965,0.038055327,0.025026316,0.024629375,0.038036104,0.039605077
506,ID265,smape,0.02506432,0.02423322,0.011343929,0.042933673,0.018059121,0.018597333,0.04753253,0.03159434
507,ID266,smape,0.03424013,0.025686204,0.02260852,0.045026284,0.02860626,0.025893105,0.038337,0.035341308
508,ID267,smape,0.021751756,0.015956862,0.009392467,0.035026044,0.016447656,0.008604906,0.052389745,0.011458016
509,ID268,smape,0.01943148,0.01660444,0.021150311,0.018340068,0.016756127,0.022788823,0.046905056,0.022458525
510,ID269,smape,0.018249968,0.014189831,0.018713547,0.014636521,0.014022621,0.015956236,0.04018731,0.028791405
511,ID27,smape,0.022170207,0.016004046,0.024008006,0.017043432,0.020984745,0.013666462,0.045081824,0.050764903
512,ID270,smape,0.015959106,0.010981067,0.0069641895,0.023836695,0.010524221,0.015405245,0.087738626,0.0505166
513,ID271,smape,0.02500841,0.022502998,0.010673788,0.034575656,0.023132345,0.012810946,0.04437922,0.024310986
514,ID272,smape,0.01822142,0.016476167,0.018384969,0.016479665,0.017282391,0.02193982,0.040811557,0.040045336
515,ID273,smape,0.015587653,0.009947215,0.011083643,0.02109483,0.010744647,0.014185234,0.036869638,0.017929958
516,ID274,smape,0.012141664,0.011281389,0.022783933,0.016339248,0.011598144,0.014978831,0.03282148,0.0175889
517,ID275,smape,0.022644492,0.02143062,0.03215915,0.009011258,0.02239179,0.030719876,0.030765956,0.036254715
518,ID276,smape,0.01523295,0.012347666,0.01762488,0.022014305,0.014332123,0.018476939,0.047291104,0.030310119
519,ID277,smape,0.013076876,0.011840588,0.023477683,0.009036667,0.01018793,0.020034716,0.03387225,0.013311853
520,ID278,smape,0.017733077,0.012141425,0.014793445,0.03134303,0.017598981,0.02378878,0.0989785,0.026435202
521,ID279,smape,0.014082021,0.009273672,0.008977884,0.028723573,0.009978147,0.013264083,0.052549858,0.032435637
522,ID28,smape,0.012467937,0.019221848,0.039054606,0.018342277,0.014017875,0.018641414,0.0550334,0.029872542
523,ID280,smape,0.015662083,0.013046003,0.014326076,0.025125496,0.013144289,0.014558188,0.048409324,0.031495433
524,ID281,smape,0.026699753,0.0224929,0.027129369,0.01862401,0.023673557,0.028366638,0.028789297,0.019964205
525,ID282,smape,0.01802663,0.01925267,0.035116673,0.007303182,0.024806628,0.022168899,0.014920805,0.064523295
526,ID283,smape,0.019216707,0.019335436,0.018563952,0.031309854,0.019400675,0.020250047,0.04458909,0.04244506
527,ID284,smape,0.03163174,0.032214064,0.019672235,0.046704043,0.033089984,0.015000814,0.05074516,0.035707023
528,ID285,smape,0.02450491,0.025093436,0.030703185,0.02778986,0.026429968,0.028049864,0.033284638,0.025672697
529,ID286,smape,0.104137905,0.11264983,0.13028379,0.11566209,0.10156184,0.11445855,0.19043161,0.10203918
530,ID287,smape,0.06286318,0.06050019,0.056717277,0.06510234,0.061806556,0.066235684,0.07725459,0.112259425
531,ID288,smape,0.04857928,0.051634263,0.07643245,0.048740417,0.045246452,0.058678243,0.10904918,0.0758943
532,ID289,smape,0.059263732,0.06360409,0.06984495,0.059476823,0.06098861,0.065663196,0.06807209,0.08083148
533,ID29,smape,0.14417945,0.14407451,0.12620343,0.13199379,0.17162055,0.14787789,0.20297934,0.13398251
534,ID290,smape,0.030967394,0.027162865,0.03193221,0.04952694,0.025647858,0.030496724,0.100754,0.05475737
535,ID291,smape,0.0501775,0.049829688,0.04384768,0.07524858,0.04363258,0.036699887,0.11892018,0.044257436
536,ID292,smape,0.015723938,0.011716753,0.019095154,0.02291567,0.012892495,0.014538438,0.024352709,0.040255096
537,ID293,smape,0.026599376,0.022029677,0.019495472,0.03154275,0.02355873,0.020424465,0.04974507,0.040624227
538,ID294,smape,0.05934285,0.060437035,0.054767814,0.04377785,0.053829428,0.09195156,0.08281547,0.07361662
539,ID295,smape,0.043629885,0.042945474,0.025766877,0.04036936,0.06733108,0.03219175,0.07159084,0.04675707
540,ID296,smape,0.016360475,0.014479857,0.022723252,0.017064543,0.019166855,0.019992998,0.022725804,0.06911222
541,ID297,smape,0.025245667,0.021059573,0.025417233,0.028076535,0.025424166,0.026048258,0.03201325,0.091795266
542,ID298,smape,0.60778993,0.6015047,0.60001755,0.5827027,0.602346,0.611623,0.56724745,0.5833333
