,unique_id,metric,Original,Online,Offline,OfflineMax,SeasonalNaive
0,T1,mase,1.8041240772586111,2.124402439149577,1.4903485679308983,1.8286781780819439,1.5669802142348404
1,T2,mase,1.5551176155503441,1.5261469188262464,1.5863431086915663,1.232320763463081,2.667437564975268
2,T3,mase,2.5550792436848395,2.453904858210371,3.1780918630634596,3.033694521328569,3.1519593920964133
3,T4,mase,1.3900226560723281,1.6713969972177434,1.7226428976546613,1.5109554590315861,2.665187030968319
4,T5,mase,1.1082511649842204,0.7765705365949975,0.86401099093551,0.7578844360464372,1.3179134216677995
5,T1,smape,0.04334461054523626,0.05007152414377311,0.03605066207232124,0.044160995772035534,0.03730735532994802
6,T2,smape,0.03443851546843658,0.034006873402118776,0.0351192232618741,0.027682549614927093,0.05693245754538878
7,T3,smape,0.061494133290891005,0.05920701555657193,0.07457311697973386,0.07147361965217552,0.07389957616995735
8,T4,smape,0.05638355825191261,0.06804525119988925,0.06977506642010181,0.06102398378235722,0.09945811927838394
9,T5,smape,0.04743469610969803,0.033828427544075924,0.03769763580187246,0.03283526663759052,0.056097422111440566
