,unique_id,metric,Original,OnlineFixed,Online,OnlineRandGen,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
48,ID42,mase,1.3928235,1.2933066,1.1975843,1.1921445,1.3085278,1.4207308,0.82668126,0.6489509
49,ID43,mase,0.87943494,0.77645683,0.7135681,1.0656519,0.93719405,0.8476849,0.810302,1.1268746
50,ID44,mase,1.7988067,1.6522858,1.6634086,1.7899061,1.925191,1.7316511,1.6148559,1.2698116
51,ID45,mase,1.1515756,0.9510309,0.9226189,1.0740461,1.0351778,0.92028826,0.6993603,1.4680471
52,ID46,mase,0.34283775,0.31538382,0.39032185,0.34262553,0.341802,0.29748654,0.65483314,1.4801208
53,ID47,mase,0.4707427,0.54430604,0.43697512,0.4983764,0.540441,0.46144617,0.46034178,1.559999
54,ID48,mase,1.0779,0.8917811,0.96118903,1.2163002,1.5056205,1.2041291,0.59117764,0.82612664
55,ID49,mase,0.34214184,0.27381805,0.27893645,0.3186618,0.3743083,0.2781457,0.5757336,1.2756326
56,ID5,mase,1.0923404,1.7566581,1.039733,1.8922591,1.7795256,1.118284,0.83607286,1.6203152
57,ID50,mase,0.9376121,0.8774298,0.8470993,0.91676044,0.8973421,0.9298643,0.9582736,0.960221
58,ID51,mase,0.80380654,0.77063483,0.7635867,0.73628163,0.77100855,0.77949035,0.7548728,1.0560918
59,ID52,mase,0.40133172,0.349947,0.37025404,0.39948606,0.31738326,0.41407636,0.28653383,0.70026475
60,ID53,mase,1.1044616,0.9679219,0.97114325,0.99825495,0.9589531,1.0253658,0.8403682,1.1258266
61,ID54,mase,0.46120527,0.45487547,0.43937403,0.43441612,0.4483783,0.43644753,0.6308157,1.2726374
62,ID55,mase,1.9929596,1.8064415,1.865826,2.0257647,2.1886878,1.952765,1.1307615,1.1357759
63,ID56,mase,1.7867303,1.6942899,1.5750359,1.8125674,1.8193507,1.8288609,1.3760359,1.9651864
64,ID57,mase,1.888842,1.5911949,1.5725049,1.7449734,1.7036805,1.7221451,0.9177762,1.0009435
65,ID58,mase,2.1862693,2.0925667,2.097312,2.2920995,2.1310456,2.2947066,1.2308491,1.2430122
66,ID59,mase,1.0169275,0.6987327,0.87360597,1.0217074,0.986529,0.9697238,0.7176443,1.2644271
67,ID6,mase,2.1230066,1.7964883,1.71013,1.9970919,1.9440242,1.9709457,1.2000016,1.2265803
68,ID60,mase,3.366089,2.858048,2.5267467,3.278689,3.4862971,3.1648,1.3279436,0.96766144
69,ID61,mase,1.3242311,1.0553851,1.1411111,1.1007365,1.2144028,1.3083909,0.54220253,0.6388876
70,ID62,mase,1.3017136,1.2417018,1.2273923,1.4208463,1.382009,1.2679563,0.7742398,0.77237785
71,ID63,mase,0.8365989,0.71481997,0.8976268,0.8679256,0.9955564,0.90914875,0.74949783,0.8613454
72,ID64,mase,0.70346457,0.60701823,0.64415044,0.7186105,0.7991705,0.68826026,0.68810886,1.0846341
73,ID65,mase,0.93453795,0.71972483,0.74355274,0.8389426,0.9704878,0.8950675,0.7003642,0.96812326
74,ID66,mase,1.5941771,1.6523961,1.5571821,1.8096434,1.4850972,1.6501364,0.62447906,0.6657304
75,ID67,mase,0.4103218,0.51322716,0.46553776,0.3738615,0.32578656,0.3461923,0.9815117,1.4807898
76,ID68,mase,2.2349668,2.3234806,2.519482,2.3811305,2.676745,2.4709256,1.0355824,0.82409155
77,ID69,mase,1.4272532,1.302493,1.2156309,1.6641421,1.5333502,1.5354346,0.75777906,1.2106767
78,ID7,mase,1.4362286,1.3756738,1.356729,1.3254001,1.2971617,1.4760702,1.2548107,1.3399757
79,ID70,mase,1.9157084,2.1030235,2.0184338,2.2865145,1.8310044,2.0208502,1.5461066,1.2094755
80,ID71,mase,0.8233269,1.6167039,0.9250427,1.3279431,0.9395858,0.8040925,1.2553393,1.2552725
81,ID72,mase,0.5255826,0.86666393,0.5009963,0.76649684,0.7564795,0.5243093,0.29356664,0.57641065
82,ID73,mase,0.6867056,0.47980434,0.4966823,0.55976266,0.47449315,0.598308,0.500115,0.6008031
83,ID74,mase,2.2293131,1.8712752,1.9419792,2.22385,2.3036978,2.2049046,1.0440739,0.8954396
84,ID75,mase,0.7298149,0.7037726,0.6689725,0.72319824,0.83253485,0.772301,0.64452374,0.8217428
85,ID76,mase,1.5576721,1.4492466,1.2903597,1.5346894,1.6324327,1.6480283,0.76580983,1.2359678
86,ID77,mase,0.94787127,0.75156385,0.758373,0.8021941,0.819061,0.92477024,0.79412824,0.7393819
87,ID78,mase,1.1609801,1.0336382,0.9558316,1.0279317,1.0350395,1.0100831,0.7002158,0.49041444
88,ID79,mase,1.5870143,1.3849847,1.3319463,1.3855883,1.4840493,1.4705198,0.7555763,0.97292775
89,ID8,mase,2.0841684,1.5717628,2.0382533,2.7875178,2.1621158,2.2425125,1.0915943,1.0946965
90,ID80,mase,1.0936148,0.9150497,0.830529,1.1396925,1.33468,0.90353894,0.52771413,0.8883052
91,ID81,mase,0.48305547,0.36731216,0.3906605,0.48960102,0.66984,0.45116556,0.4187067,1.4324789
92,ID82,mase,0.71251893,0.5037642,0.506101,0.5389715,0.49000397,0.55213666,0.72674793,1.0750331
93,ID83,mase,0.3419221,0.36988136,0.36185935,0.34908587,0.35108644,0.37279356,0.42412975,0.5593234
94,ID84,mase,2.311292,2.0917053,2.2471142,2.113775,2.3772554,2.3182065,1.57379,2.170098
95,ID85,mase,1.6904799,1.5188822,1.3002181,1.6628785,1.8188858,1.5336713,0.6014568,0.47423062
96,ID86,mase,0.51656103,0.52937126,0.4900701,0.4835778,0.569418,0.556604,0.41877627,0.4768919
97,ID87,mase,3.1777253,1.4597355,2.4337895,4.150906,3.0684772,2.7108567,2.005566,1.4249389
98,ID88,mase,1.9433718,1.0087758,1.2487329,2.0232713,1.8529855,1.6309983,1.0969748,0.914929
99,ID89,mase,1.3862233,1.3492895,1.359732,1.262594,1.3396499,1.3582584,1.1276729,1.4693215
100,ID9,mase,0.36074594,0.32057357,0.34440866,0.3081815,0.34835106,0.3190673,0.5573508,1.4078811
101,ID90,mase,1.2490813,1.408947,1.1887609,1.2795656,1.5985733,1.2869612,0.73367006,0.59938014
102,ID91,mase,2.253206,1.8476545,1.8615624,1.9372888,2.1042027,2.0977128,1.5504894,1.1931115
103,ID92,mase,0.4061638,0.42999426,0.38087577,0.4694229,0.35664982,0.41948435,0.6181517,0.89054847
104,ID93,mase,1.7156727,1.3456539,1.3131485,1.4374062,1.31578,1.5826201,0.6019162,0.5953945
105,ID94,mase,2.0714986,2.1543248,1.8876072,1.851559,1.8129647,1.8313911,1.4540373,1.6422018
106,ID95,mase,1.3844572,0.82965636,0.888564,0.9508821,1.008011,1.0037259,0.8689708,0.6972657
107,ID96,mase,1.0450922,0.37159497,0.58611614,0.6208703,0.72797793,0.531441,1.8487626,0.6724125
108,ID97,mase,2.1816115,2.1285627,1.8329275,2.7228863,2.3331256,2.1378322,0.8564401,0.5883834
109,ID98,mase,0.5197493,0.4633967,0.49756023,0.47295392,0.57326907,0.49724627,0.49431813,0.94891894
110,ID99,mase,0.55791545,0.40583676,0.4155145,0.45458955,0.6121956,0.5693997,0.2816489,0.6302583
111,ID0,smape,0.037884828,0.034798544,0.04317004,0.037896115,0.037787605,0.03276475,0.075034,0.19455451
112,ID1,smape,0.076300494,0.054557916,0.06399971,0.07606644,0.08623447,0.069130145,0.043407608,0.05286369
113,ID10,smape,0.028199421,0.02272782,0.023209631,0.026319949,0.03089227,0.023225851,0.047760736,0.11590386
114,ID100,smape,0.07916762,0.056920666,0.06391847,0.08195281,0.07215689,0.080591336,0.12597252,0.04060877
115,ID101,smape,0.17114125,0.20922448,0.16529004,0.18666084,0.19500655,0.162203,0.04560992,0.053333353
116,ID102,smape,0.09834016,0.059840456,0.05084516,0.06971798,0.08434173,0.062682934,0.1674136,0.08463157
117,ID103,smape,0.078743555,0.057544094,0.05499992,0.06834039,0.06992383,0.056401227,0.05424886,0.0965743
118,ID104,smape,0.062037516,0.05421394,0.05709569,0.065359615,0.05968992,0.057255585,0.053220794,0.05965058
119,ID105,smape,0.11916881,0.09312161,0.09253309,0.109569795,0.12150221,0.10410721,0.035468586,0.047424998
120,ID106,smape,0.08606159,0.09738692,0.069964625,0.08963689,0.1118466,0.08181216,0.054713856,0.05227689
121,ID107,smape,0.11621615,0.08861422,0.09877511,0.09177179,0.09018805,0.108523965,0.10178494,0.054932877
122,ID108,smape,0.07674581,0.06263506,0.05644776,0.07340223,0.07109137,0.069771044,0.029603971,0.028176235
123,ID109,smape,0.1209838,0.09743791,0.065664925,0.08624833,0.120653726,0.07547543,0.15794252,0.1375897
124,ID11,smape,0.15616047,0.15516822,0.14362146,0.15481792,0.1640369,0.15251994,0.08830937,0.06342084
125,ID110,smape,0.06759219,0.060468152,0.05634689,0.06049216,0.060786083,0.059208453,0.0417961,0.031239549
126,ID12,smape,0.08712355,0.06560549,0.069993615,0.06941631,0.08138744,0.0793396,0.039067145,0.05660214
127,ID13,smape,0.048493087,0.04677306,0.035759028,0.042118,0.04092563,0.05001034,0.033303533,0.047468785
128,ID14,smape,0.05623043,0.04731035,0.04150111,0.051205575,0.051179226,0.04752261,0.045326326,0.08847729
129,ID15,smape,0.054980364,0.04498669,0.04440369,0.056144994,0.04811384,0.04801561,0.049242754,0.10679089
130,ID16,smape,0.18590663,0.1766364,0.16615726,0.18606882,0.20009732,0.18172419,0.08288945,0.04837538
131,ID17,smape,0.14568508,0.13688816,0.13582717,0.16097298,0.14006023,0.1410364,0.0891171,0.071228415
132,ID18,smape,0.09058782,0.07604728,0.07882151,0.08365499,0.09334282,0.0931426,0.061970737,0.07673121
133,ID19,smape,0.071926706,0.062871344,0.053893734,0.068785146,0.06137326,0.069747925,0.031682055,0.0314158
134,ID2,smape,0.04703847,0.033376556,0.033485796,0.04199337,0.04063733,0.037188012,0.07092137,0.1443239
135,ID20,smape,0.061132595,0.05328316,0.05602038,0.05997325,0.058461804,0.061723318,0.052560378,0.07263732
136,ID21,smape,0.058248196,0.05461961,0.051760722,0.06588604,0.04859868,0.061497364,0.036686916,0.054893088
137,ID22,smape,0.08544955,0.07981739,0.076160915,0.08089863,0.0837234,0.0749417,0.041982215,0.10266792
138,ID23,smape,0.15245976,0.17726754,0.13494845,0.1651323,0.180036,0.1488216,0.07246906,0.048652247
139,ID24,smape,0.042202365,0.0397828,0.042081997,0.041914027,0.03717838,0.040081073,0.07651093,0.14353965
140,ID25,smape,0.04634006,0.037475828,0.041232117,0.04866788,0.051262155,0.046240244,0.038568545,0.15535212
141,ID26,smape,0.15436347,0.1001719,0.12886415,0.12081488,0.1262059,0.11644567,0.18381697,0.084755816
142,ID27,smape,0.08365115,0.07276148,0.074969985,0.08613052,0.06800669,0.083973885,0.040935952,0.024542311
143,ID28,smape,0.047665928,0.036553252,0.038449846,0.047131736,0.046681967,0.04289529,0.041451454,0.08678728
144,ID29,smape,0.13694899,0.11226038,0.12907776,0.13734089,0.15483092,0.12814605,0.088903986,0.1902892
145,ID3,smape,0.055101722,0.054855015,0.053962737,0.059113946,0.058833346,0.060141366,0.057589397,0.06313688
146,ID30,smape,0.057948235,0.04836226,0.05277051,0.046940297,0.040116195,0.058471646,0.045913,0.030220846
147,ID31,smape,0.071118504,0.05205447,0.059161175,0.0649921,0.06644382,0.067847736,0.044218704,0.05708553
148,ID32,smape,0.08399824,0.07415826,0.070298046,0.07891524,0.08656147,0.07968253,0.052364174,0.055838715
149,ID33,smape,0.05259495,0.04163159,0.05109937,0.043925624,0.027927136,0.038134743,0.088118106,0.14788105
150,ID34,smape,0.09497579,0.0818911,0.07930293,0.096081585,0.099013574,0.08584293,0.031539198,0.032709155
151,ID35,smape,0.14699334,0.13349344,0.13682468,0.1379145,0.14555334,0.14145397,0.06397311,0.06264808
152,ID36,smape,0.18231206,0.15503292,0.16608757,0.19855875,0.166281,0.17602664,0.09220844,0.09253501
153,ID37,smape,0.044473004,0.04237264,0.05310261,0.048593238,0.06938024,0.054170072,0.040104743,0.04516098
154,ID38,smape,0.07104743,0.058655143,0.0611252,0.058998,0.06562186,0.06808401,0.060008124,0.07090179
155,ID39,smape,0.051462337,0.036892094,0.03708411,0.053682823,0.044160217,0.050502416,0.033241924,0.07703875
