,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,Offline1,OfflineRNG,SeasonalNaive
609,q265,smape,0.028375520383844586,0.03168294607635074,0.02336217901595568,0.03321705680748048,0.02558464252612696,0.1266384369706536,0.02584251660936669
610,q266,smape,0.11967144254416574,0.108934673340251,0.11310455438424515,0.13422694088850345,0.10834398321511532,0.1264446239685192,0.09721299523204727
611,q267,smape,0.12200156714245738,0.11475168368591798,0.11457772004833784,0.15585324027698533,0.11364073633052303,0.10573251902194643,0.08343942669846405
612,q268,smape,0.17247893048385485,0.16920170760544984,0.1579927632379925,0.18402927815346437,0.17838388730930557,0.08691378692476792,0.12324805512937737
613,q269,smape,0.10256294688695668,0.09933404037159088,0.07770116633635774,0.17114975238110264,0.1350387752223125,0.16566858427924938,0.09853487438044152
614,q27,smape,0.025111588217229513,0.030626319938093078,0.031167048084733636,0.057779035211383785,0.04942025128233151,0.18947896392509195,0.03148040239570099
615,q270,smape,0.12033544310939819,0.1091958380243046,0.1123188152333636,0.1380331006193522,0.110829459621549,0.11396868513644859,0.0957938108303902
616,q271,smape,0.06459348460793374,0.0502622884201519,0.053914370330307076,0.10313185893886904,0.0526366202520676,0.10675674024621476,0.0693894849709901
617,q272,smape,0.06701802200766974,0.07053238456561012,0.06461139458863342,0.08638612579675024,0.06419821130097589,0.09237986257473815,0.039654677025370254
618,q273,smape,0.2180670208710155,0.22856047224403753,0.173957019391631,0.21030589141715364,0.23553930212693658,0.1412627374119641,0.23356617709183922
619,q274,smape,0.07941719220005299,0.08591051507840644,0.08594949514239494,0.09894511108858835,0.09159705223951481,0.1214317929237807,0.07145282330618999
620,q275,smape,0.04166469812752404,0.03634011644239983,0.04417910249961968,0.08468422208982669,0.047733926250302136,0.09169673708995234,0.03952363405460095
621,q276,smape,0.12467679357673445,0.12416198200146607,0.12468919176951841,0.15340698245363843,0.11711966918170424,0.15425045545462027,0.1120832053855253
622,q277,smape,0.11309926413227922,0.10689129392546423,0.11106569466007563,0.14803633186620152,0.12137021462420086,0.09167863145168667,0.09970598938599977
623,q278,smape,0.12371080343796446,0.12089961490661152,0.10431461981068754,0.11932750417713253,0.12351262340737013,0.10523431366290759,0.10362765523732963
624,q279,smape,0.12807456979435644,0.11845100073386923,0.15418033116209487,0.15378379537027562,0.13724091192844076,0.16965563544538373,0.1156149509754982
625,q28,smape,0.019704985112021345,0.025395836735075,0.0248463443084885,0.017492810525424264,0.020971285156449207,0.1466751287622236,0.042727209610777896
626,q280,smape,0.0750760815069447,0.08106040347165867,0.08296495647394453,0.1271629096879251,0.08339187360425081,0.08614973679749083,0.0607590962450297
627,q281,smape,0.09972551907074428,0.08285479942018453,0.07605451168694524,0.10661249118376113,0.08951225900339338,0.07988585433128306,0.04270451414527961
628,q282,smape,0.06071122317610876,0.06618490164512808,0.06855558205153041,0.08183914991949552,0.04745367535959938,0.08803364171733295,0.06046794869281107
629,q283,smape,0.14040089838898506,0.1415002642768069,0.14705825075099266,0.13404661849143013,0.14836142800927574,0.1397425761773881,0.15874440983067145
630,q284,smape,0.06154632174468692,0.06502668318484979,0.06770762157189643,0.05284850468471301,0.055800086469337866,0.11271265338162693,0.12143484354105916
631,q285,smape,0.07149032871957929,0.06108425593191198,0.053804548462632225,0.09089919379142965,0.06589434513310406,0.07599780049952878,0.03492387406929047
