,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
71,ID165,mase,0.2950434,0.3240716,0.26654014,0.3393263,0.3997599
72,ID166,mase,2.076226,2.0010266,2.0143123,1.9766918,1.9655173
73,ID167,mase,1.8737674,1.8645713,1.8368145,1.8440963,3.536042
74,ID168,mase,0.21900976,0.22069474,0.2063008,0.18217525,1.2620192
75,ID17,mase,1.3537892,1.4459257,1.4497372,1.4317787,0.93955517
76,ID173,mase,0.3769826,0.37111515,0.37240323,0.38409555,0.38770822
77,ID174,mase,0.16963272,0.166978,0.15920717,0.14616647,1.0432191
78,ID175,mase,0.22011657,0.24117728,0.22247301,0.24259087,0.27427596
79,ID176,mase,2.7585053,2.7106345,2.7646608,2.8327608,3.3308551
80,ID177,mase,0.37594354,0.53394395,0.41106132,0.3790686,0.9008314
81,ID178,mase,0.04790761,0.08364498,0.085741736,0.049543258,0.07614206
82,ID179,mase,0.1607493,0.04676674,0.0854184,0.047195166,0.5786026
83,ID18,mase,1.2931454,1.2773021,1.2232311,1.3168303,1.5177279
84,ID180,mase,0.15528981,0.09517389,0.026963633,0.08165615,1.535254
85,ID181,mase,1.9906397,1.8233197,1.9099231,1.4255276,5.72165
86,ID182,mase,0.06413815,0.11400748,0.437478,0.4015116,2.7380283
87,ID183,mase,0.24861939,0.5369176,0.3537012,0.69660205,2.999998
88,ID184,mase,0.40443358,0.1314644,0.45337903,0.19352537,2.8151262
89,ID185,mase,1.5364344,1.0889417,1.3791076,1.3532276,2.4489794
90,ID186,mase,0.28718403,0.25970733,0.27346474,0.23670197,0.35714287
91,ID187,mase,0.9750188,0.68839914,0.70356417,0.67409796,0.8241758
92,ID188,mase,4.193095,3.9580958,4.4143357,3.8047943,0.95864654
93,ID189,mase,0.15303572,0.16866122,0.175823,0.17105831,0.37439597
94,ID19,mase,0.59003097,0.58622676,0.58681506,0.592275,2.1662853
95,ID192,mase,3.0691206,2.9476712,2.65639,2.7149515,0.91463417
96,ID193,mase,3.076664,2.753169,3.0536258,2.685241,1.374868
97,ID194,mase,0.57148844,0.58051825,0.59424156,0.6618878,2.1226304
98,ID195,mase,2.606117,2.4896715,2.2267332,2.4478154,2.10476
99,ID196,mase,0.62802124,0.5218524,0.6778392,0.55507153,0.33703357
100,ID197,mase,0.1438057,0.12158889,0.12189464,0.10779953,1.925
101,ID198,mase,0.65807945,0.60145986,0.61673725,0.5712878,1.1333333
102,ID199,mase,2.7487502,2.427096,2.5132678,2.843806,2.4128654
103,ID2,mase,2.015631,1.3213935,1.5662317,1.2753894,1.233998
104,ID20,mase,2.0431478,2.0630572,2.0757635,2.0912063,2.1860843
105,ID200,mase,1.736656,1.3771539,2.0191495,1.7565427,5.0329757
106,ID201,mase,1.0105109,0.92069215,0.9672441,1.031251,1.2861842
107,ID202,mase,0.30239013,0.32732004,0.23933192,0.31221777,0.69105685
108,ID21,mase,0.22672626,0.22893204,0.28262478,0.38615087,0.5606472
109,ID22,mase,3.113998,3.3440924,3.4597638,3.6249998,5.221981
110,ID23,mase,1.3111892,0.938497,0.77245086,1.1201122,2.5647058
111,ID24,mase,1.2794518,1.3003145,1.2049526,1.6402054,3.026011
112,ID25,mase,1.1517321,1.1705122,1.0846696,1.4764738,2.723943
113,ID26,mase,0.92846197,1.2039171,1.1276759,1.3874651,2.1117053
114,ID28,mase,2.1689992,2.4833422,2.3371851,2.2619982,3.0583684
115,ID29,mase,1.3436595,1.3266981,1.4099835,1.328978,0.52228415
116,ID3,mase,4.249893,3.8282979,3.2151217,4.0855055,2.7211468
117,ID30,mase,2.1374574,2.2121403,2.2736769,2.1999083,1.7541614
118,ID31,mase,0.7210608,0.7587055,0.7303689,0.8581435,1.3923999
119,ID32,mase,1.1415815,1.2293291,1.2607323,1.2794538,0.9528595
120,ID33,mase,2.8427248,2.1672702,2.3864784,2.4455087,3.9078948
121,ID34,mase,0.538735,0.48430845,0.47456172,0.38239744,1.2067039
122,ID35,mase,0.78020924,0.7736399,0.80203307,0.83752674,2.2772276
123,ID36,mase,0.56829816,0.5718892,0.92521286,0.6692046,0.5676745
124,ID37,mase,1.3424177,1.5317608,1.4713244,1.9588566,1.29101
125,ID38,mase,0.3924002,0.51351815,0.45185432,0.56115794,0.8505703
126,ID39,mase,0.4584043,0.7594126,0.72913826,0.8127907,0.9867602
127,ID4,mase,1.0551717,1.0366273,1.0297809,1.064523,3.28451
128,ID40,mase,1.1767634,1.1420707,1.1428876,1.1887608,1.9982201
129,ID41,mase,0.17611396,0.34419057,0.22683191,0.39941287,1.448036
130,ID42,mase,1.2837795,1.5596294,1.6507201,1.2119657,0.64435786
131,ID43,mase,0.17178872,0.1822808,0.49825284,0.17625847,1.6763848
132,ID44,mase,0.82013994,0.7861097,0.7627497,0.7104606,0.4166667
133,ID45,mase,0.1357512,0.17334719,0.17918728,0.18643309,0.5273433
134,ID46,mase,2.6447296,2.8157818,2.6965559,2.8987098,1.2773722
135,ID47,mase,1.1254653,0.9421457,1.2636201,0.9364708,0.41269842
136,ID48,mase,1.2902678,1.1404746,1.1787003,1.0126716,1.3541666
137,ID49,mase,1.2281662,1.072211,1.5093313,0.93578595,1.2055137
138,ID5,mase,0.5900074,0.58620733,0.58678573,0.59227014,2.166205
139,ID50,mase,0.5001667,0.5061329,0.49117532,0.49747947,1.0
140,ID51,mase,1.6610237,1.7062197,1.6796615,1.7484419,0.95744675
141,ID52,mase,1.5450364,1.4026713,1.4286506,1.2565756,3.28125
142,ID53,mase,0.37270924,0.32192954,0.35816312,0.31365773,1.7460316
143,ID54,mase,1.4860531,0.99519354,1.0015025,0.9596567,2.242268
144,ID55,mase,4.0043893,4.1762123,4.020452,4.082782,2.923946
145,ID56,mase,1.0442754,1.1907079,1.0292807,1.068093,0.91397774
146,ID57,mase,1.7992469,1.8981296,1.7288847,1.9205753,2.420024
147,ID58,mase,0.6960672,1.4680799,0.9127215,1.4221747,1.3606694
148,ID59,mase,0.22672626,0.22893204,0.28262478,0.38615087,0.5606472
149,ID60,mase,2.2934582,2.2895916,2.3092415,2.3256757,2.8290734
150,ID61,mase,1.0075501,0.9984262,1.0306644,1.0184569,0.6934673
151,ID62,mase,0.7824944,0.71484095,0.63146263,0.54085803,1.5276753
152,ID63,mase,1.378027,1.2141783,1.4425894,1.2473572,0.21714157
153,ID64,mase,0.8756936,0.93882626,0.90718967,0.9574782,0.73684216
154,ID7,mase,1.5704502,1.4391251,1.3585302,1.4704392,1.8302919
155,ID71,mase,0.19875744,0.22000226,0.16550398,0.1336346,1.1241829
156,ID77,mase,0.04970376,0.07337225,0.09914709,0.12955393,1.3378868
157,ID78,mase,0.17378342,0.14397624,0.21522944,0.14682023,0.22193076
158,ID79,mase,0.16735223,0.11542079,0.1047065,0.076196685,1.9231812
159,ID8,mase,0.85206187,0.8658413,1.2431298,0.42803985,0.7216747
160,ID80,mase,0.0613326,0.048713066,0.048228182,0.041307792,1.8460575
161,ID81,mase,0.5450828,0.4529071,0.48534548,0.4226956,1.0375717
162,ID82,mase,0.61610687,0.5736049,0.5959746,0.49581653,2.6438124
163,ID83,mase,0.8270455,0.7840541,0.81010765,0.64481354,3.0711172
164,ID84,mase,0.49265108,0.53266174,0.46179855,0.611828,1.6303631
165,ID85,mase,3.7864451,3.9363904,3.755431,4.102748,1.0492228
166,ID86,mase,3.7390664,3.8471959,3.8151798,3.9148498,6.216418
167,ID87,mase,0.47523272,0.5048519,0.5431674,0.57058024,1.1665987
168,ID88,mase,0.6217818,0.7299513,1.194289,0.7426933,1.1045752
