,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
71,ID165,mase,0.2950434,0.12696402,0.24935551,0.167852,0.3997599
72,ID166,mase,2.076226,2.1206222,2.2114391,2.3058121,1.9655173
73,ID167,mase,1.8737674,1.8571976,1.8743684,1.8034289,3.536042
74,ID168,mase,0.21900976,0.2668224,0.24882066,0.31819987,1.2620192
75,ID17,mase,1.3537892,1.3995683,1.3915377,1.329208,0.93955517
76,ID173,mase,0.3769826,0.5467371,0.44042414,0.67103803,0.38770822
77,ID174,mase,0.16963272,0.179296,0.17715478,0.18894339,1.0432191
78,ID175,mase,0.22011657,0.20768474,0.21714416,0.17751661,0.27427596
79,ID176,mase,2.7585053,2.7988646,2.7660968,2.9619813,3.3308551
80,ID177,mase,0.37594354,0.3645451,0.35426524,0.44141382,0.9008314
81,ID178,mase,0.04790761,0.08616653,0.09677011,0.06354884,0.07614206
82,ID179,mase,0.1607493,0.1898257,0.21810459,0.25310084,0.5786026
83,ID18,mase,1.2931454,1.3283049,1.2642823,1.5216507,1.5177279
84,ID180,mase,0.15528981,0.1857396,0.11282261,0.15166935,1.535254
85,ID181,mase,1.9906397,2.5894184,2.5973308,3.289893,5.72165
86,ID182,mase,0.06413815,0.11972106,0.18350984,0.42467126,2.7380283
87,ID183,mase,0.24861939,0.75334334,0.5543377,1.2862841,2.999998
88,ID184,mase,0.40443358,0.73532844,0.34143162,1.4139543,2.8151262
89,ID185,mase,1.5364344,1.680843,1.6767988,1.6685482,2.4489794
90,ID186,mase,0.28718403,0.27412415,0.24145126,0.38370132,0.35714287
91,ID187,mase,0.9750188,0.7169805,0.2944954,1.2810354,0.8241758
92,ID188,mase,4.193095,5.638604,5.184489,6.9824,0.95864654
93,ID189,mase,0.15303572,0.1493021,0.14294058,0.20359841,0.37439597
94,ID19,mase,0.59003097,0.57248193,0.5360665,0.5217868,2.1662853
95,ID192,mase,3.0691206,2.546108,2.8455431,2.2359977,0.91463417
96,ID193,mase,3.076664,2.65394,2.4479253,1.8816003,1.374868
97,ID194,mase,0.57148844,0.3708009,0.42069697,0.2961303,2.1226304
98,ID195,mase,2.606117,2.2870867,2.3461,1.0308034,2.10476
99,ID196,mase,0.62802124,0.8940441,0.9012637,1.1011864,0.33703357
100,ID197,mase,0.1438057,0.1452837,0.14315948,0.16530819,1.925
101,ID198,mase,0.65807945,0.729256,0.68822277,0.777582,1.1333333
102,ID199,mase,2.7487502,2.180871,1.7581915,0.9477158,2.4128654
103,ID2,mase,2.015631,1.9853199,2.533756,3.207741,1.233998
104,ID20,mase,2.0431478,2.089823,2.0833116,2.1475515,2.1860843
105,ID200,mase,1.736656,2.4673615,2.348251,2.907312,5.0329757
106,ID201,mase,1.0105109,0.57040906,0.59998745,0.35456318,1.2861842
107,ID202,mase,0.30239013,0.12679143,0.14908056,0.02937092,0.69105685
108,ID21,mase,0.22672626,0.8543323,0.62759495,2.0368845,0.5606472
109,ID22,mase,3.113998,2.410048,2.4502094,1.857612,5.221981
110,ID23,mase,1.3111892,1.2917925,1.4443704,1.6748827,2.5647058
111,ID24,mase,1.2794518,1.3098917,1.3444906,1.3717515,3.026011
112,ID25,mase,1.1517321,1.1791334,1.2102785,1.2348181,2.723943
113,ID26,mase,0.92846197,0.89765316,0.8906573,0.8649438,2.1117053
114,ID28,mase,2.1689992,2.0685332,2.2620988,2.2395663,3.0583684
115,ID29,mase,1.3436595,1.346828,1.3852113,1.6412376,0.52228415
116,ID3,mase,4.249893,3.0302386,2.9181552,3.3562527,2.7211468
117,ID30,mase,2.1374574,2.215592,2.1357484,2.1914618,1.7541614
118,ID31,mase,0.7210608,0.74462503,0.74351376,0.74203694,1.3923999
119,ID32,mase,1.1415815,1.3323027,1.2825382,1.4156619,0.9528595
120,ID33,mase,2.8427248,2.1103694,2.1314194,1.7398766,3.9078948
121,ID34,mase,0.538735,0.37163526,0.3042295,0.48053098,1.2067039
122,ID35,mase,0.78020924,0.74146056,0.69794315,0.15052979,2.2772276
