,unique_id,metric,Original,OnlineFixed,Online,OfflineMax,SeasonalNaive
842,ID535,smape,0.018367868,0.014231869,0.014087196,0.009881014,0.0737768
843,ID536,smape,0.006292201,0.0066049052,0.0057841083,0.006620352,0.013514732
844,ID537,smape,0.025322516,0.025596261,0.025473598,0.030248474,0.1003089
845,ID538,smape,0.05369786,0.0574006,0.05544034,0.054941706,0.039186094
846,ID539,smape,0.003600366,0.004119367,0.004462786,0.0053449934,0.014650136
847,ID54,smape,0.02486472,0.03449163,0.04745613,0.085684985,0.03607284
848,ID540,smape,0.0063181575,0.0060377214,0.005849176,0.0078065745,0.04560192
849,ID541,smape,0.14170669,0.13934958,0.15557478,0.15967448,0.14924046
850,ID542,smape,0.038490444,0.061034366,0.059428282,0.07343511,0.04689712
851,ID543,smape,0.008073683,0.01085267,0.007230054,0.014775697,0.17458297
852,ID544,smape,0.047779284,0.04785747,0.044934113,0.046825066,0.05596286
853,ID55,smape,0.27258345,0.1066083,0.1430078,0.078121126,0.087075144
854,ID556,smape,0.06378231,0.04637604,0.05466253,0.042302255,0.081283465
855,ID557,smape,0.23095927,0.22301406,0.22719488,0.19708297,0.31826824
856,ID558,smape,0.14975058,0.21120161,0.17617789,0.27439103,0.39650178
857,ID559,smape,0.119618386,0.10609514,0.11442895,0.072993115,0.17535466
858,ID56,smape,0.06553011,0.0632539,0.08539162,0.10874672,0.11992392
859,ID560,smape,0.12108983,0.10296456,0.10022564,0.0750729,0.20258614
860,ID561,smape,0.17215727,0.14708965,0.20503503,0.18552877,0.23560607
861,ID562,smape,0.27022466,0.10492557,0.10766939,0.06457718,0.2357791
862,ID563,smape,0.10729876,0.09292258,0.105384275,0.058801305,0.15142044
863,ID564,smape,0.0754372,0.062239762,0.07174008,0.060603503,0.1193891
864,ID565,smape,0.409438,0.2537688,0.24590562,0.24398586,0.32489878
865,ID566,smape,0.16981995,0.12508346,0.115916446,0.07997443,0.16693847
866,ID567,smape,0.8357015,0.88066477,0.88529134,0.88341886,0.1215077
867,ID569,smape,0.001260903,0.0028650449,0.002351767,0.004733665,0.009256991
868,ID570,smape,0.009208742,0.0054394137,0.0064596403,0.006747008,0.011822211
869,ID571,smape,0.013530204,0.054664664,0.05176229,0.07437495,0.015283885
870,ID572,smape,0.009917652,0.0057021985,0.00762573,0.005109195,0.012630304
871,ID573,smape,0.050413102,0.038795575,0.043620393,0.032977313,0.060699787
872,ID574,smape,0.0018384364,0.001931252,0.001859555,0.0023769352,0.009520309
873,ID575,smape,0.11908176,0.08748795,0.10875941,0.07994524,0.21063764
874,ID576,smape,0.09106985,0.068599485,0.07155095,0.064940155,0.07567909
875,ID577,smape,0.13506153,0.109372616,0.1139202,0.09927261,0.10177102
876,ID578,smape,0.07040849,0.051364653,0.05590681,0.041661978,0.06831376
877,ID579,smape,0.031897914,0.030776367,0.03313826,0.036768205,0.03617015
878,ID580,smape,0.09642989,0.081394,0.07789406,0.076423086,0.08243115
879,ID581,smape,0.05997514,0.04184302,0.04726073,0.03805443,0.045072496
880,ID582,smape,0.1609658,0.12210485,0.13307562,0.10148245,0.12980953
881,ID583,smape,0.045612693,0.037077203,0.02965895,0.033619177,0.044180706
882,ID584,smape,0.15084228,0.11350864,0.12633646,0.095951945,0.13280481
883,ID585,smape,0.11166407,0.07859981,0.089784704,0.065239124,0.093625456
884,ID586,smape,0.09771101,0.06314689,0.08272627,0.049437508,0.083783865
885,ID587,smape,0.19003294,0.14431557,0.16449165,0.12162732,0.17671256
886,ID588,smape,0.20462003,0.15952781,0.1752747,0.11889504,0.19337952
887,ID59,smape,0.044500683,0.04241847,0.042216826,0.040693432,0.034878585
888,ID593,smape,0.222521,0.17197403,0.20841338,0.13989954,0.18102092
889,ID594,smape,0.1327943,0.11022871,0.11381894,0.08730373,0.14651233
890,ID595,smape,0.016109988,0.02342631,0.020141667,0.027111601,0.015055961
891,ID596,smape,0.027275465,0.032701906,0.034947574,0.035913564,0.06001453
892,ID597,smape,0.027933748,0.04270448,0.039311934,0.047218412,0.027096897
893,ID60,smape,0.031067902,0.058937382,0.052770752,0.06869181,0.09311874
894,ID61,smape,0.07413574,0.08819254,0.09493139,0.13077067,0.035775166
895,ID614,smape,0.03002616,0.04478802,0.034606785,0.05202382,0.028713286
896,ID615,smape,0.00278116,0.0025733656,0.0023955912,0.0021436955,0.0027357552
897,ID62,smape,0.12514542,0.12246228,0.12328579,0.12392031,0.12571445
898,ID63,smape,0.16115831,0.17414385,0.1698353,0.1901825,0.16316083
899,ID64,smape,0.08895587,0.094572425,0.081987545,0.10582799,0.2780296
900,ID65,smape,0.012559451,0.012367076,0.009498906,0.029754506,0.036120176
901,ID66,smape,0.22368242,0.22088984,0.22019538,0.1930552,0.31554285
902,ID67,smape,0.03708023,0.066706516,0.044424713,0.08478776,0.07981847
903,ID68,smape,0.026998756,0.034950227,0.029489625,0.053940024,0.03406105
904,ID69,smape,0.050389417,0.059870344,0.066933356,0.076744415,0.08521074
905,ID70,smape,0.045646194,0.038701635,0.0364326,0.038687687,0.0597439
906,ID71,smape,0.08888284,0.122256175,0.13229792,0.16543265,0.16295187
907,ID72,smape,0.07079518,0.08648213,0.09793437,0.13516194,0.060178533
908,ID73,smape,0.091151446,0.1445339,0.12403814,0.12292537,0.060467124
909,ID74,smape,0.06446116,0.028293429,0.041960366,0.026608026,0.056138705
910,ID75,smape,0.051032886,0.048137758,0.047204074,0.045681383,0.077145554
911,ID76,smape,0.032065134,0.03262561,0.033616617,0.05900058,0.05635386
912,ID77,smape,0.18010417,0.105494834,0.124729194,0.22564955,0.17595583
913,ID78,smape,0.03866685,0.043961048,0.041323125,0.08087798,0.053454883
914,ID79,smape,0.029997833,0.04635521,0.06196422,0.092046544,0.036325783
